sku,name,type,category,subcat,active
P7056700CR,The Cedar Reserve - Pear Drops - PG - 00mg,Product,Labelled,Freebase,1
P7056703CR,The Cedar Reserve - Pear Drops - PG - 03mg,Product,Labelled,Freebase,1
P7056706CR,The Cedar Reserve - Pear Drops - PG - 06mg,Product,Labelled,Freebase,1
P7056712CR,The Cedar Reserve - Pear Drops - PG - 12mg,Product,Labelled,Freebase,1
P7056718CR,The Cedar Reserve - Pear Drops - PG - 18mg,Product,Labelled,Freebase,1
P7031100CR,The Cedar Reserve - Peppermint - PG - 00mg,Product,Labelled,Freebase,1
P7031103CR,The Cedar Reserve - Peppermint - PG - 03mg,Product,Labelled,Freebase,1
P7031106CR,The Cedar Reserve - Peppermint - PG - 06mg,Product,Labelled,Freebase,1
P7031112CR,The Cedar Reserve - Peppermint - PG - 12mg,Product,Labelled,Freebase,1
P7031118CR,The Cedar Reserve - Peppermint - PG - 18mg,Product,Labelled,Freebase,1
P7047700CR,The Cedar Reserve - Rainbow Juice - PG - 00mg,Product,Labelled,Freebase,1
P7047703CR,The Cedar Reserve - Rainbow Juice - PG - 03mg,Product,Labelled,Freebase,1
P7047706CR,The Cedar Reserve - Rainbow Juice - PG - 06mg,Product,Labelled,Freebase,1
P7047712CR,The Cedar Reserve - Rainbow Juice - PG - 12mg,Product,Labelled,Freebase,1
P7047718CR,The Cedar Reserve - Rainbow Juice - PG - 18mg,Product,Labelled,Freebase,1
P7069200CR,The Cedar Reserve - Raspberry - PG - 00mg,Product,Labelled,Freebase,1
P7069203CR,The Cedar Reserve - Raspberry - PG - 03mg,Product,Labelled,Freebase,1
P7069206CR,The Cedar Reserve - Raspberry - PG - 06mg,Product,Labelled,Freebase,1
P7069212CR,The Cedar Reserve - Raspberry - PG - 12mg,Product,Labelled,Freebase,1
P7069218CR,The Cedar Reserve - Raspberry - PG - 18mg,Product,Labelled,Freebase,1
P7048000CR,The Cedar Reserve - Smurfs Blood - PG - 00mg,Product,Labelled,Freebase,1
P7048003CR,The Cedar Reserve - Smurfs Blood - PG - 03mg,Product,Labelled,Freebase,1
P7048006CR,The Cedar Reserve - Smurfs Blood - PG - 06mg,Product,Labelled,Freebase,1
P7048012CR,The Cedar Reserve - Smurfs Blood - PG - 12mg,Product,Labelled,Freebase,1
P7048018CR,The Cedar Reserve - Smurfs Blood - PG - 18mg,Product,Labelled,Freebase,1
P7031000CR,The Cedar Reserve - Spearmint - PG - 00mg,Product,Labelled,Freebase,1
P7031003CR,The Cedar Reserve - Spearmint - PG - 03mg,Product,Labelled,Freebase,1
